kind,label,angle_deg,det_rotation,pca_sign_parity,pca_signs,pca_basis_offdiag,d2_shape,sliced_wasserstein,sliced_wasserstein_sign_spread,occupancy_dice,occupancy_resolution,scale_log_ratio
random_so3,random_24,,1.0000000000000002,1,-+-,5.690682488453627e-16,0.0012572376974890843,5.34826649384746e-16,0.08091466581294961,1.0,1.9142807884020079,0.0
random_so3,random_25,,1.0000000000000002,-1,-++,1.8421253846010335e-15,0.0012572376974890735,1.7217511957534164e-16,0.08091466581294997,1.0,1.9142807884020079,0.0
random_so3,random_26,,1.0,-1,+-+,2.2351522990460037e-15,0.0012572376974890704,4.316270661741152e-16,0.08091466581294975,1.0,1.9142807884020079,0.0
random_so3,random_27,,0.9999999999999996,-1,-++,6.9986224050346285e-16,0.0012572376974890947,4.2863634598091715e-16,0.08091466581294972,1.0,1.9142807884020079,-2.2204460492503136e-16
random_so3,random_28,,1.0,-1,+-+,5.537645950745167e-16,0.0012572376974890839,3.904415586595695e-16,0.08091466581294976,1.0,1.9142807884020079,0.0
random_so3,random_29,,1.0000000000000004,-1,---,1.1309096615185384e-15,0.001257237697489082,0.038461903353983334,0.039119667280718876,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_30,,0.9999999999999998,-1,-++,5.721928706477339e-16,0.0012572376974890882,2.588721211496901e-16,0.08091466581294987,1.0,1.9142807884020079,0.0
random_so3,random_31,,1.0,-1,-++,2.589586023508838e-15,0.0012572376974890737,0.038461903353983334,0.039119667280718876,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_32,,1.0,1,-+-,8.681136312324791e-16,0.0012572376974890741,0.038461903353983334,0.03911966728071889,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_33,,1.0,1,-+-,6.915101030124886e-16,0.0012572376974890832,0.038461903353983334,0.03911966728071886,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_34,,1.0,-1,-++,4.884393091422253e-16,0.0012572376974890726,0.038461903353983355,0.039119667280718855,0.6274509803921569,1.9142807884020079,0.0
